,name,population,latitude,longitude
280,svityaz’,1845,51.48211,23.85904
281,svarychiv,4845,48.9622,24.19658
282,surs’ko-mykhaylivka,2552,48.27202,34.72759
283,tabachnoye,1597,44.90175,33.67638
284,subottsi,3095,48.65545,32.52093
285,svyatogorsk,4900,49.03333,37.56667
286,syevyerodonets’k,130000,48.94832,38.49166
287,svetloye,1608,45.6332,34.66264
288,svitlovods’k,47946,49.04894,33.24106
289,svatove,18770,49.41029,38.15035
290,sverdlovs’k,68000,48.08964,39.65243
291,svalyava,16507,48.54853,22.99578
292,svetlodarsk,12273,48.43374,38.22331
293,sumy,294456,50.9216,34.80029
294,susanino,800,45.49898,33.69854
295,suvorovskoye,3200,45.25171,33.37194
296,sutysky,6111,49.04245,28.41733
297,sudova vyshnya,6420,49.78892,23.37218
298,sukhovolya,3612,49.82426,23.8377
299,sudak,16597,44.84924,34.97471
300,stryi,61404,49.26223,23.85609
301,botanicheskoye,1661,45.78656,33.54856
302,strabychovo,3255,48.39247,22.54308
303,strogonovka,3337,44.9497,34.17924
304,stolbovoye,1082,45.3627,33.49584
305,storozhynets’,0,48.1643,25.72029
306,stepanivka,1720,46.79489,29.98684
307,stavyshche,0,49.39124,30.19022
308,stayki,2203,50.07818,30.9038
309,stebnyk,20087,49.29416,23.56357
310,studenok,1440,49.09107,37.48697
311,stizhkivs’ke,4480,48.11333,38.4925
312,staryy sambir,5603,49.43856,23.00056
313,stetseva,3076,48.52767,25.57572
314,staryy merchyk,1709,49.98147,35.75904
315,steblëv,3859,49.40186,31.09764
316,staryy saltiv,3776,50.07619,36.78852
317,stavyshche,7634,50.40051,29.52796
318,storozhnytsya,2623,48.60403,22.23269
319,stepnoye,1461,45.65212,33.77441
320,staryy krym,5977,47.16146,37.48934
321,starokozache,5108,46.33722,29.98528
322,stanislav,4726,46.56909,32.14777
323,staroye selo,2119,49.71037,24.1895
324,starobil’s’k,22000,49.27832,38.91069
325,starokostiantyniv,33897,49.75764,27.20342
326,stari kuty,5068,48.27093,25.17293
327,stary krym,9370,45.02887,35.09174
328,stara syniava,5771,49.60318,27.61909
329,starobesheve,6917,47.75038,38.03051
330,stanytsya luhans’ka,12765,48.65433,39.47943
331,stakhanovka,857,45.37062,33.94883
332,stara vyzhivka,5466,51.43762,24.43997
333,stari bohorodchany,3426,48.83361,24.5243
334,starychi,3293,49.98001,23.55848
335,stal’noye,1125,45.70814,34.56238
336,stakhanov,84425,48.56818,38.64352
337,serednye vodyane,5465,47.98159,23.91041
338,sribne,3534,50.66384,32.91867
339,serednye,3505,48.54043,22.50696
340,spas’ke,3017,48.66667,35.05385
341,sosnytsya,7825,51.52387,32.49985
342,solotvyno,8931,47.94604,23.87035
343,spas,2976,48.88992,24.06293
344,sovetskiy,10410,45.34267,34.92463
345,solonytsivka,12378,49.99682,36.03464
346,solone,7304,48.20805,34.87208
347,solotvyn,3803,48.70212,24.42212
348,sokal’,21451,50.47438,24.28288
