,objectId,location,cityId,name,population,createdAt,updatedAt
1453,0q3I3R2dX7,"{'__type': 'GeoPoint', 'latitude': 45.28629, 'longitude': 34.61589}",6997290,Drofino,779,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1454,uFDHVCy6ka,"{'__type': 'GeoPoint', 'latitude': 45.36161, 'longitude': 34.85482}",7018897,Razdol’noye,1008,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1455,xGgFWB6FSe,"{'__type': 'GeoPoint', 'latitude': 45.31747, 'longitude': 34.67418}",6997414,Kostochkovka,892,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1456,soSbfpNk6A,"{'__type': 'GeoPoint', 'latitude': 45.5657, 'longitude': 34.3036}",7019905,Vol’noye,1982,2019-12-14T02:43:45.017Z,2019-12-14T02:43:45.017Z
1457,HDwMM3CKrO,"{'__type': 'GeoPoint', 'latitude': 46.08865, 'longitude': 33.688}",7021000,Suvorovo,1357,2019-12-14T02:43:45.017Z,2019-12-14T02:43:45.017Z
1458,boNm76D8QK,"{'__type': 'GeoPoint', 'latitude': 45.48086, 'longitude': 34.81087}",7019390,Listvennoye,549,2019-12-14T02:43:45.017Z,2019-12-14T02:43:45.017Z
1459,3BCy0e34kR,"{'__type': 'GeoPoint', 'latitude': 45.60916, 'longitude': 34.37992}",7020107,Roshchino,928,2019-12-14T02:43:45.017Z,2019-12-14T02:43:45.017Z
1460,0CzmHPmFri,"{'__type': 'GeoPoint', 'latitude': 45.83472, 'longitude': 34.16129}",7021041,Pakharevka,1161,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1461,Mob0vfDaV5,"{'__type': 'GeoPoint', 'latitude': 45.94097, 'longitude': 34.35262}",7021130,Yasnopolyanskoye,723,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1462,0qkTzUsOrr,"{'__type': 'GeoPoint', 'latitude': 45.71924, 'longitude': 33.3903}",7026819,Kukushkino,1006,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1463,uxiKjVg4QT,"{'__type': 'GeoPoint', 'latitude': 45.24804, 'longitude': 33.41773}",7034932,Kamenolomnya,1804,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1464,XLjs1TE172,"{'__type': 'GeoPoint', 'latitude': 45.28838, 'longitude': 33.86414}",7037690,Zernovoye,944,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1465,Ce1v5d5Nye,"{'__type': 'GeoPoint', 'latitude': 44.6583, 'longitude': 33.75456}",7021036,Kholmovka,2234,2019-12-14T02:43:46.929Z,2019-12-14T02:43:46.929Z
1466,RbDC759zCF,"{'__type': 'GeoPoint', 'latitude': 45.12294, 'longitude': 33.68662}",7037694,Chervonoye,2007,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1467,CE8U6DCnSo,"{'__type': 'GeoPoint', 'latitude': 45.05758, 'longitude': 33.89737}",7039160,Shkol’noye,1964,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1468,kkA0KEroUz,"{'__type': 'GeoPoint', 'latitude': 45.38314, 'longitude': 33.11715}",7025405,Novoozyornoye,4998,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1469,SX13gWN2aA,"{'__type': 'GeoPoint', 'latitude': 45.09473, 'longitude': 33.57211}",7039154,Novofedorovka,5651,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
1470,DGMcwL6p7a,"{'__type': 'GeoPoint', 'latitude': 44.98129, 'longitude': 33.7392}",7039965,Vinnitskoye,1048,2019-12-14T02:43:46.930Z,2019-12-14T02:43:46.930Z
